,belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,title,vote_average,vote_count,year,day,month,cast,cast_size,crew_size,director
16,,16500000.0,"['Drama', 'Romance']",,en,10.673167,"['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']",136.0,1,Sense and Sensibility,7.2,364.0,1995.0,Wed,Dec,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']",17,8,Ang Lee
17,,4000000.0,"['Crime', 'Comedy']",,en,9.026586,"['Miramax Films', 'A Band Apart']",['United States of America'],98.0,1,Four Rooms,6.5,539.0,1995.0,Sat,Dec,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']",24,88,Allison Anders
18,"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",30000000.0,"['Crime', 'Comedy', 'Adventure']",,en,8.205447999999999,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America'],90.0,1,Ace Ventura: When Nature Calls,6.1,1128.0,1995.0,Fri,Nov,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny D. Daniels', 'Sam Motoana Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', ""Arsenio 'Sonny' Trinidad""]",15,11,Steve Oedekerk
19,,60000000.0,"['Action', 'Comedy', 'Crime']",,en,7.337905999999999,['Columbia Pictures'],['United States of America'],103.0,1,Money Train,5.4,224.0,1995.0,Tue,Nov,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Katie Gill', 'Jeremy Roberts', 'Joe Bacino']",15,44,Joseph Ruben
20,"{'id': 91698, 'name': 'Chili Palmer Collection', 'poster_path': '/ae3smJDdWrMJ77tDpYOrpo4frKq.jpg', 'backdrop_path': '/uWaANGQeoSs5vSP1CWtlkDrkqei.jpg'}",30250000.0,"['Comedy', 'Thriller', 'Crime']",,en,12.669608,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],105.0,1,Get Shorty,6.4,305.0,1995.0,Fri,Oct,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']",16,26,Barry Sonnenfeld
22,,50000000.0,"['Action', 'Adventure', 'Crime', 'Thriller']",,en,11.065939,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']",132.0,3,Assassins,6.0,394.0,1995.0,Fri,Oct,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky', 'James Douglas Haskins', 'Stephen Liska', 'John Harms', 'Edward J. Rosen', 'Christina Orchid', 'Choco Orta', 'Germán Legarreta']",17,71,Richard Donner
24,,3600000.0,"['Drama', 'Romance']",http://www.mgm.com/title_title.do?title_star=LEAVINGL,en,10.332025,"['United Artists', 'Intial Productions']",['United States of America'],112.0,1,Leaving Las Vegas,7.1,365.0,1995.0,Fri,Oct,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Reynolds ', 'Valeria Golino', 'Graham Beckel', 'Mariska Hargitay', 'Laurie Metcalf', 'Shawnee Smith', 'David Kriegel']",14,12,Mike Figgis
26,,12000000.0,"['Comedy', 'Drama', 'Family']",,en,8.681325,['New Line Cinema'],['United States of America'],100.0,1,Now and Then,6.6,91.0,1995.0,Fri,Oct,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Walter Sparrow', 'Devon Sawa', 'Cloris Leachman', 'Janeane Garofalo', 'Hank Azaria', 'Bonnie Hunt', 'Lolita Davidovich', 'Brendan Fraser']",16,8,Lesli Linka Glatter
28,,18000000.0,"['Fantasy', 'Science Fiction', 'Adventure']",,fr,9.822422999999999,"['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']",108.0,2,The City of Lost Children,7.6,308.0,1995.0,Tue,May,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']",37,21,Jean-Pierre Jeunet
31,,29500000.0,"['Science Fiction', 'Thriller', 'Mystery']",,en,12.297305,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America'],129.0,2,Twelve Monkeys,7.4,2470.0,1995.0,Fri,Dec,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse', 'Jon Seda', 'Frank Gorshin', 'Joseph Melito', 'Aaron Michael Lacey', 'Christopher Meloni', 'Joey Perillo', 'LisaGay Hamilton', 'Matt Ross', 'Annie Golden', 'Michael Chance', 'Vernon Campbell', 'H. Michael Walls', 'Bob Adrian', 'Simon Jones', 'Carol Florence', 'Bill Raymond', 'Ernest Abuba', 'Irma St. Paule', 'Rozwill Young', 'Nell Johnson', 'Frederick Strother', 'Charles Techman', 'Rick Warner', ""Anthony 'Chip' Brienza"", 'Bruce Kirkpatrick', 'Wilfred Williams', 'Joilet Harris', 'Drucie McDaniel', 'John Blaisse', 'Louis Lippa', 'Stan Kang', 'Pat Dias', 'Felix Pire', 'Karl Warren', 'Joseph McKenna', 'Stephen Bridgewater', 'Ray Huffman', 'Charley Scalies', ""Robert O'Neill"", 'Paul Meshejian', 'Kevin Thigpen', ""Harry O'Toole"", 'Jann Ellis', 'Michael Ryan Segal', 'Korchenko', 'Chuck Jeffreys', 'Barry Price', 'John Panzarella', 'Janet Zappala', 'Lisa Talerico', 'Tiffany Baldwin', 'C.J. Byrnes', 'Tom Detrik', 'Joe Gerety', 'Renee Spei', 'Bonnie Loev', 'Raymond Mamrak', 'Sal Mazzotta', 'Allelon Ruggiero', 'Thang']",65,151,Terry Gilliam
33,"{'id': 9435, 'name': 'Babe Collection', 'poster_path': '/jgnah0k4AumfcZE4HHMJywYHvG6.jpg', 'backdrop_path': '/zRWuGdIlkWqXMQcs1t3sPy1XQ6x.jpg'}",30000000.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",,en,14.404764000000002,"['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']",89.0,1,Babe,6.0,756.0,1995.0,Tue,Jul,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn', 'James Cromwell', 'Russi Taylor', 'Evelyn Krape', 'Michael Edward-Stevens', 'Charles Bartlett', 'Paul Livingston', 'Roscoe Lee Browne', 'Magda Szubanski', 'Zoe Burton', 'Paul Goddard', 'Wade Hayward', 'Brittany Byrnes', 'Mary Acres']",18,11,Chris Noonan
35,,11000000.0,['Drama'],,en,6.891317,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']",122.0,1,Dead Man Walking,7.3,350.0,1995.0,Fri,Dec,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey', 'Celia Weston', 'Lois Smith', 'Scott Wilson', 'Roberta Maxwell', 'Margo Martindale', 'Jack Black', 'Ray Aranha', 'Peter Sarsgaard', 'Barton Heyman', 'Steve Boles', 'Nesbitt Blaisdell', 'Larry Pine', 'Kevin Cooney', 'Clancy Brown', 'Michael Cullen', 'Missy Yager', 'Jenny Krochmal', 'Jon Abrahams', 'Arthur Bridgers', 'Steve Carlisle', 'Eva Amurri Martino', 'Jack Henry Robbins', 'Dennis Neal', 'Molly Bryant', 'Adele Robbins', 'Pete Burris', 'Joan Glover', 'Lenore Banks', 'Scott Sowers', 'Cortez Nance Jr.', 'Adam Nelson', 'Jeremy Knaster', 'Marcus Lyle Brown', 'Anthony Michael Frederick', 'Thomas McGowan', 'Codie Scott', 'Helen Prejean']",42,95,Tim Robbins
43,"{'id': 9818, 'name': 'Mortal Kombat Collection', 'poster_path': '/nauCllomdtyciLCRcVrSJKcJQbn.jpg', 'backdrop_path': '/qD3efz57VGNywAN4lTvgz3FHnBb.jpg'}",18000000.0,"['Action', 'Fantasy']",,en,10.870138,"['New Line Cinema', 'Threshold Entertainment']",['United States of America'],101.0,1,Mortal Kombat,5.4,452.0,1995.0,Fri,Aug,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson', 'Talisa Soto', 'Trevor Goddard', 'Chris Casamassa', 'François Petit', 'Keith Cooke', 'Ed Boon']",11,15,Paul W.S. Anderson
44,,20000000.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",,en,10.448481,"['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America'],106.0,1,To Die For,6.7,177.0,1995.0,Sat,May,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas', 'Alison Folland', 'Dan Hedaya', 'Wayne Knight', 'David Cronenberg', 'Kurtwood Smith', 'Holland Taylor', 'Susan Traylor', 'Maria Tucci', 'Tim Hopper']",14,16,Gus Van Sant
45,,10000000.0,"['Drama', 'Romance']",,en,4.485958,"['Universal Pictures', 'Amblin Entertainment']",['United States of America'],116.0,1,How To Make An American Quilt,6.5,38.0,1995.0,Fri,Oct,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons', 'Maya Angelou', 'Alfre Woodard', 'Dermot Mulroney', 'Lois Smith', 'Kate Capshaw', 'Rip Torn', 'Johnathon Schaech', 'Samantha Mathis', 'Joanna Going', 'Esther Rolle', 'Jared Leto', 'Claire Danes', 'Lecy Goranson', 'Holland Taylor', 'Tim Guinee', ""Derrick O'Connor"", 'Loren Dean', 'Melinda Dillon', 'Richard Jenkins', 'Denis Arndt', 'Adam Baldwin', 'Michael McElroy', 'Ari Meyers', 'Jane Alden', 'Tamala Jones', ""Rae'Ven Larrymore Kelly"", 'Alicia Goranson', 'Will Estes', 'Mykelti Williamson']",34,18,Jocelyn Moorhouse
46,,33000000.0,"['Crime', 'Mystery', 'Thriller']",http://www.sevenmovie.com/,en,18.45743,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['United States of America'],127.0,1,Se7en,8.1,5915.0,1995.0,Fri,Sep,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey', 'R. Lee Ermey', 'Richard Roundtree', 'Richard Schiff', 'Julie Araskog', 'Mark Boone Junior', 'John Cassini', 'Reg E. Cathey', 'Peter Crombie', 'Hawthorne James', 'Michael Massee', 'Leland Orser', 'Richard Portnow', 'Daniel Zacapa', 'Alfonso Freeman', 'Harris Savides', 'Andrew Kevin Walker', 'Richmond Arquette', 'Pamala Tyson', 'Emily Wagner', 'Shannon Wilcox', 'George Christy', 'Endre Hules', 'William Davidson', 'Bob Collins', 'Dominique Jennings', 'Allan Kolman', 'Gene Borkan', 'Mario Di Donato', 'Harrison White', 'Bob Stephenson', 'Michael Reid MacKay', 'Lennie Loftin', 'Martin Serene', 'David Correia', 'Lexie Bigham', 'Evan Mirand', 'Paul Eckstein', 'Rachel Flanagan', 'Heidi Schanz', 'Brian Evers', 'James Deeth', 'Charles A. Tamburro', 'Charles S. Dutton', 'Arthur Max']",49,91,David Fincher
47,"{'id': 136214, 'name': 'Pocahontas Collection', 'poster_path': '/s4RkDe4AjwyrlltdF6Ui7INlME6.jpg', 'backdrop_path': '/qqeOxNmtAW7WXdbrmQftgluvve7.jpg'}",55000000.0,"['Adventure', 'Animation', 'Drama', 'Family']",,en,13.280069000000001,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],81.0,1,Pocahontas,6.7,1509.0,1995.0,Wed,Jun,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Judy Kuhn', 'Linda Hunt', 'Danny Mann', 'Billy Connolly', 'Joe Baker', 'Frank Welker', 'Michelle St. John', 'James Apaumut Fall', 'Gordon Tootoosis', 'Jim Cummings']",16,31,Mike Gabriel
49,,6000000.0,"['Drama', 'Crime', 'Thriller']",http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,en,16.302466,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America'],106.0,4,The Usual Suspects,8.1,3334.0,1995.0,Wed,Jul,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak', 'Pete Postlethwaite', 'Kevin Spacey', 'Suzy Amis', 'Giancarlo Esposito', 'Benicio del Toro', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Christine Estabrook', 'Clark Gregg', 'Morgan Hunter', 'Louis Lombardi', 'Frank Medrano', 'Ron Gilbert']",18,64,Bryan Singer
51,,15000000.0,"['Comedy', 'Romance']",,en,15.899134,"['Miramax Films', 'Magnolia Pictures']",['United States of America'],95.0,1,Mighty Aphrodite,6.7,145.0,1995.0,Wed,Sep,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham', 'Donald Symington', 'Claire Bloom', 'Olympia Dukakis', 'Michael Rapaport', 'David Ogden Stiers', 'Jack Warden', 'Peter Weller', 'Danielle Ferland']",12,30,Woody Allen
68,"{'id': 43563, 'name': 'Friday Collection', 'poster_path': '/dWh1Fohgx07AEd4vRUwgIj8BYxD.jpg', 'backdrop_path': '/pXszT8ZWGj3fohU9FY0niA0IDEw.jpg'}",3500000.0,['Comedy'],http://www.newline.com/properties/friday.html,en,14.56965,['New Line Cinema'],['United States of America'],91.0,1,Friday,7.0,513.0,1995.0,Wed,Apr,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.', 'John Witherspoon', 'Anna Maria Horsford', 'Regina King', 'Paula Jai Parker', 'Faizon Love', 'DJ Pooh', 'Tony Cox', 'Anthony Johnson', 'Bernie Mac', 'Meagan Good', 'Terri J. Vaughn', 'F. Gary Gray', 'Reynaldo Rey', 'Michael Clarke Duncan']",18,5,F. Gary Gray
69,"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",19000000.0,"['Horror', 'Action', 'Thriller', 'Crime']",http://www.miramax.com/movie/from-dusk-till-dawn/,en,15.339153,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",['United States of America'],108.0,2,From Dusk Till Dawn,6.9,1644.0,1996.0,Fri,Jan,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu', 'Salma Hayek', 'Cheech Marin', 'Danny Trejo', 'Tom Savini', 'Fred Williamson', 'Michael Parks', 'Brenda Hillhouse', 'John Saxon', 'Marc Lawrence', 'Kelly Preston', 'John Hawkes', 'Tito Larriva', 'Peter Atanasoff', 'Johnny Vatos Hernandez', 'Aimee Graham', 'Heidi McNeal', 'Ernest M. Garcia', 'Gregory Nicotero', 'Cristos', 'Mike Moroff', 'Tia Texada', 'Janine Jordae', 'Ungela Brockman', 'Michelle Berube', 'Michael McKay', 'Jake McKinnon', 'Walter Phelan', 'Wayne Toth']",33,117,Robert Rodriguez
70,,50000000.0,"['Action', 'Thriller', 'Romance']",,en,5.912223,"['Silver Pictures', 'Warner Bros.']",['United States of America'],91.0,2,Fair Game,4.1,54.0,1995.0,Fri,Nov,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald', 'Miguel Sandoval', 'Johann Carlo', 'Salma Hayek', 'John Bedford Lloyd', 'Jenette Goldstein', 'Paul Dillon', 'Olek Krupa', 'Gustav Vintas', 'Marc Macaulay', 'Ruben Rabasa', 'Sonny Carl Davis', 'Dan Hedaya', 'Antoni Corone', 'Dan Hedaya']",18,14,Andrew Sipes
74,,15000000.0,"['Comedy', 'Family']",,en,2.936443,"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],90.0,1,Big Bully,3.9,16.0,1996.0,Fri,Jan,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips', 'Carol Kane', 'Jeffrey Tambor', 'Curtis Armstrong', 'Don Knotts']",7,3,Steve Miner
